Название,Ссылка,Артикул,Текущая цена,Старая цена,Скидка,Бренд,Производитель,Вкусовая добавка,Рейтинг,Количество оценок,Количество отзывов,Ккал,Белки,Жиры,Углеводы,Тип,Вес (кг),Упаковка,Тип шоколада,Какао (%),Состав,Глазировка,Начинка,Вид конфет,Вид сахарозаменителя,Добавка,Тип глазировки,Объем л,Содержание сахара
Шоколад молочный крем-банан Алёнка 87г,https://magnit.ru/product/1000389748-alenka_shokolad_molochnyy_krem_banan_87g?shopCode=992301&shopType=6,1000389748,119.99,219.99,-45%,Алёнка,Объединенные Кондитеры,Фруктовый крем,4.3,34.0,2.0,520.0,7.0,31.0,54.0,Шоколадная плитка,0.087,флоупак,Молочный,34.0,"Молочный шоколад (сахар, масло какао, сухое цельное молоко, какао тертое, сухая молочная сыворотка, обезвоженный молочный жир (сливки пастеризованные), эмульгаторы, лецитин соевый, E476), начинка (сахар, жир растительный (растительные масла, эмульгатор лецитин соевый), сухое обезжиренное молоко, патока, пюре яблочное (яблоки, консервант – диоксид серы), пюре банановое (бананы, консервант – диоксид серы), влагоудерживающий агент сорбитовый сироп, эмульгатор лецитин соевый, ароматизаторы: «ванильный», «банан», желирующий агент - пектин, краситель куркумин, регуляторы кислотности, цитрат натрия, лимонная кислота), противопоказано при индивидуальной непереносимости белка молока, возможно наличие незначительного количества орехов, фундука, миндаля, арахиса, яичных продуктов, кунжута, глютена",,,,,,,,
Яйцо шоколадное для девочек Kinder 20г в ассортименте,https://magnit.ru/product/1661500024-shokoladnoe_yaytso_kinder_20g?shopCode=992301&shopType=6,1661500024,129.99,,,Kinder,Ферреро,,4.8,5212.0,196.0,557.0,1.7,6.9,10.5,Шоколадное яйцо,0.02,фольга,,,"Молочный шоколад (сахар, сухое цельное молоко, масло какао, тертое какао, эмульгатор: лецитины (сои), ароматизатор), сухое обезжиренное молоко, сахар, растительные жиры, молочный жир, эмульгатор: лецитины (сои), ароматизатор. Содержит игрушку",,,,,,,,
Шоколад Молочный Алёнка 60г,https://magnit.ru/product/1000140976-alenka_shokolad_molochnyy_60g_bum_up_krasnyy_oktyabr_25_75?shopCode=992301&shopType=6,1000140976,135.99,,,Алёнка,Объединенные Кондитеры,Без добавок,4.5,34.0,1.0,550.0,7.0,7.0,53.0,Шоколадная плитка,0.06,бумажная упаковка,Молочный,30.0,"Сахар, сухое цельное молоко, масло какао, какао тертое, эмульгаторы: лецитин соевый, Е476, ароматизаторы. Массовые доли: общего сухого остатка какао – не менее 32%, сухого обезжиренного остатка какао - не менее 5.9%, сухого обезжиренного остатка молока - не менее 15.2%, молочного жира - не менее 5.4%. Возможно наличие незначительного количества арахиса, орехов: миндаля, фундука и кешью. Противопоказано при индивидуальной непереносимости белка молока",,,,,,,,
Шоколад горький с апельсином Bucheron Original 72% 90г,https://magnit.ru/product/1000460522-bucheron_shokolad_gork_s_apel_72_90g_k_u_intergrupp?shopCode=992301&shopType=6,1000460522,188.99,249.99,-24%,Bucheron,Собрание,Прочее,4.9,47.0,4.0,490.0,8.0,33.0,39.0,Шоколадная плитка,0.09,картонная упаковка,Горький,72.0,"Какао тертое, сахар, масло какао, апельсиновые кусочки (концентрированное яблочное пюре, концентрированный грушевый сок, концентрированный апельсиновый сок, цитрусовые волокна, желирующий аге",,,,,,,,
Батончик шоколадный райское манго с мякотью кокоса Bounty 52г,https://magnit.ru/product/1000328472-shokoladnyy_batonchik_bounty_rayskoe_mango_52g?shopCode=992301&shopType=6,1000328472,59.99,,,Bounty,Mars,,4.7,3166.0,204.0,484.0,3.0,25.2,60.0,Батончик шоколадный,0.052,флоупак,Молочный,,"Молочный шоколад (сахар, какао масло, какао тертое, сухое цельное молоко, лактоза, сухая молочная сыворотка, молочный жир, эмульгатор (соевый лецитин), ароматизатор (ванилин)), сушеная мякоть кокоса, сахар, глюкозный сироп (кукурузный, пшеничный), эмульгатор (моно- и диглицериды жирных кислот), агент влагоудерживающий (глицерин), концентрированный сок манго, краситель (экстракт паприки), соль, ароматизаторы (манго, ванилин), регуляторы кислотности (лимонная кислота, яблочная кислота). Содержит глютен, может содержать незначительное количество яичного белка, арахиса, фундука. Молочный шоколад содержит общий сухой остаток какао – не менее 25%, сухой обезжиренный остаток какао – не менее 2.5%, сухой молочный остаток – не менее 12%, молочный жир – не менее 2.5% трансизомеров ненасыщенных жирных кислот в шоколаде – не более 1%",Молочный шоколад,Кокос,,,,,,
Шоколад Славянка молочный Особый 90г,https://magnit.ru/product/1000454306-molochnyy_shokolad_osobyy_90g?shopCode=992301&shopType=6,1000454306,129.99,,,Славянка,Славянка КО,Без добавок,4.9,18.0,4.0,525.0,6.0,33.0,50.0,Шоколадная плитка,0.088,картонная упаковка,Молочный,25.0,"Сахар, масло какао, молоко цельное сухое, какао-тёртое, сыворотка молочная сухая, эмульгаторы (лецитин соевый, эфиры полиглицерина и взаимоэтерифицированных рициноловых кислот), ароматизатор",,,,,,,,
Шоколад горький с фундуком Bucheron Standart 100г,https://magnit.ru/product/1000238499-shokolad_bucheron_gorkiy_funduk_100g?shopCode=992301&shopType=6,1000238499,359.99,439.99,-18%,Bucheron,Собрание,Орехи,4.9,27.0,2.0,534.0,9.6,42.4,27.8,Шоколадная плитка,0.1,картонная упаковка,Горький,72.0,"Нормализованное пастеризованное молоко с использованием мезофильных молочнокислых микроорганизмов, молокосвертывающего ферментного препарата животного происхождения поваренной пищевой соли, кальция хлористого, консерванта-калия азотнокислого",,,,,,,,
Шоколадный батончик Twix 3*2 165г,https://magnit.ru/product/1000356905-twix_shokoladnyy_batonchik_10224726_twix_multipak_mp_165g_floupak_rossiya_mars_18?shopCode=992301&shopType=6,1000356905,119.99,159.99,-25%,Twix,Mars,,4.8,72.0,3.0,497.0,4.1,24.2,64.8,Батончик шоколадный,0.165,флоупак,Молочный,,"Молочный шоколад (сахар, какао масло, какао тертое, сухое цельное молоко (w) или сухое обезжиренное молоко (r), лактоза, молочный жир, эмульгатор (соевый лецитин), ароматизатор (ванилин)), глюкозный сироп (кукурузный, пшеничный), сахар, пшеничная мука, растительное масло (пальмовое), сухое обезжиренное молоко, какао порошок, соль, разрыхлитель (гидрокарбонат натрия), ароматизатор (ванилин), содержит глютен, может содержать незначительное количество яичного белка, арахиса, миндаля, фундука. Молочный шоколад содержит общий сухой остаток какао – не менее 25%, сухой обезжиренный остаток какао – не менее 2, 5%, сухой молочный остаток – не менее 12%, молочный жир – не менее 2, 5%, трансизомеров ненасыщенных жирных кислот– не более 1%",Молочный шоколад,Нуга,,,,,,
Шоколад молочный Особый 85г,https://magnit.ru/product/1000255993-osobyy_shokolad_60099_molochnyy_s_tonkoizmelchyennymi_dobavleniyami_90g_bumazhnaya_upakovka_konditer?shopCode=992301&shopType=6,1000255993,144.99,163.99,-11%,Особый,КФ им. Н.К. Крупской,Без добавок,4.7,30.0,2.0,500.0,8.0,33.0,47.0,Шоколадная плитка,0.085,бумажная упаковка,Молочный,54.0,"Какао-тёртое, сахар, молоко цельное сухое, масло какао, соль, эмульгаторы (лецитин соевый E476) ароматизатор ваниль. продукт может содержать следы миндаля, фундука, арахиса, яичных продуктов и глютена",,,,,,,,
Шоколад Молочный с альпийским молоком Ritter Sport 100г,https://magnit.ru/product/1000159241-ritter_sport_shok_mol_s_alpiysk_molok_100g_fl_p_ritter_12?shopCode=992301&shopType=6,1000159241,159.99,269.99,-40%,Ritter Sport,Ritter Schonbuch Vermogensverwaltungs,Без добавок,4.8,79.0,12.0,542.0,8.0,23.0,55.0,Шоколадная плитка,0.1,флоупак,Молочный,30.0,"Сахар, молоко сухое цельное (23%), какао - тертое, какао - масло, орех тертый(фундук), эмульгатор (соевый лецитин), ароматизатор натуральный",,,,,,,,
Вафли Kinder Bueno White 39г,https://magnit.ru/product/1000217900-batonchik_kinder_bueno_v_belom_shokolade_39g?shopCode=992301&shopType=6,1000217900,89.99,,,Kinder,Ferrero,,4.9,1538.0,74.0,575.0,8.6,35.9,53.0,Батончик шоколадный,0.039,флоупак,Белый,,"Белый шоколад (масло какао, сахар, сухое обезжиренное молоко, молочный жир, эмульгатор: лецитины, ароматизатор), сахар, растительный жир, пшеничная мука, сухое обезжиренное молоко, сухое цельное молоко, лесные орехи, сухая молочная сыворотка, пшеничный крахмал, обезжиренный какао порошок, растительное масло, молочный белок, эмульгатор: лецитины, разрыхлители: гидрокарбонат натрия и карбонат аммония, соль, ароматизаторы. Содержит орехи, молоко, злаки, содержащие глютен, сою и продукты их переработки",Белый шоколад,,,,,,,
Шоколад Славянка Карамельный белый с солью Особый 88г,https://magnit.ru/product/1000454308-shokolad_osobyy_belyy_karamelnyy_s_solyu_88g?shopCode=992301&shopType=6,1000454308,124.99,144.99,-13%,Славянка,Славянка КО,Карамель,4.7,38.0,5.0,544.0,6.2,33.8,56.5,Шоколадная плитка,0.088,картонная упаковка,Белый,,"Сахар, масло какао, молоко цельное сухое, молоко сухое цельное ""карамелизованное"", эмульгаторы (лецитин соевый, эфиры полиглицерина и взаимоэтерифицированных рициноловых кислот), соль, ароматизатор",,,,,,,,
Шоколад со злаками Kinder Chocolate 4шт*23.5г,https://magnit.ru/product/1000168203-shokolad_kinder_so_zlakami_94g?shopCode=992301&shopType=6,1000168203,239.99,,,Kinder,Ferrero,,4.9,100.0,6.0,561.0,8.6,33.8,54.9,Шоколадная плитка,0.094,флоупак,Молочный,,"Молочный шоколад (сахар, масло какао, сухое цельное молоко, тертое какао, эмульгатор: лецитины, ароматизатор), сахар, сухое обезжиренное молоко, растительный жир, воздушные злаки (ячмень, рис, пшеница, пшеница спельта, гречиха), молочный жир, эмульгатор: лецитины, ароматизатор. содержит продукты переработки молока и сои",Молочный шоколад,Молочная,,,,,,
Темный шоколад с помадно-сливочной начинкой КФ Крупской 47г,https://magnit.ru/product/1000280106-krupskaya_shokolad_40334_50g_bumazhnaya_upakovka_ooo_konditerskaya_fabrika_volzhanka_20?shopCode=992301&shopType=6,1000280106,59.99,89.99,-33%,Фабрика им. Крупской,КФ им. Н.К. Крупской,,4.9,63.0,2.0,460.0,5.0,24.0,57.0,Батончик шоколадный,0.05,бумажная упаковка,Темный,,"Сахар, какао тёртое, молоко цельное сгущённое с сахаром (цельное молоко, обезжиренное молоко, сахар (сахароза, лактоза)), какао-масло, масло сливочное, патока крахмальная, спирт этиловый ректификованный, эмульгаторы: лецитин соевый Е322, Е476, ароматизаторы: «ванильный», «ваниль», консервант — сорбат калия Е202",Шоколадная глазурь,Нуга,,,,,,
Шоколад Молочный порционный Алёнка 100г,https://magnit.ru/product/1617200059-alenka_shokolad_s_moloch_nach_100g_krasnyy_oktyabr_17_68?shopCode=992301&shopType=6,1617200059,249.99,,,Алёнка,Объединенные Кондитеры,Без добавок,4.4,,,670.0,8.5,38.0,49.0,Шоколадная плитка,0.1,бумажная упаковка,Молочный,33.0,"Сахар, сухое цельное молоко, масло какао, какао тёртое, эмульгаторы: лецитин соевый, E476; ароматизатор ""ваниль""",,,,,,,,
Шоколад Молочный Кокос Ritter Sport 100г,https://magnit.ru/product/1000159242-ritter_sport_shok_mol_kokos_nach_100g_fl_p_ritter_12?shopCode=992301&shopType=6,1000159242,159.99,269.99,-40%,Ritter Sport,Ritter Schonbuch Vermogensverwaltungs,Кокос,4.8,293.0,26.0,593.0,7.0,41.0,48.0,Шоколадная плитка,0.1,флоупак,Молочный,30.0,"Сахар, сухое цельное молоко, масло какао, какал тертое, ореховая паста (орех лещины), эмульгатор (соевый лецитин), натуральный ароматизатор (экстракт бурбонской ванили); начинка: масло пальмовое, сахар, кокосовая стружка, лактоза, сухое обезжиренное молоко, сухие сливки, эмульгатор (соевый лецитин), натуральный ароматизатор. Может содержать следы арахиса, других орехов, глютена и яиц",,,,,,,,
Шоколад темный малиновый тарт с фисташкой 42% Вдохновение 100г,https://magnit.ru/product/1000446705-vdokhnovenie_temn_shokol_malin_tart_fis_100g_babaevskiy?shopCode=992301&shopType=6,1000446705,199.99,319.99,-37%,Вдохновение,Объединенные Кондитеры,Орехи,4.9,71.0,4.0,570.0,6.5,38.0,47.0,Шоколадная плитка,0.1,картонная упаковка,Темный,42.0,"Сахар, какао тертое, масло какао, сухое цельное молоко, ядро ореха фисташки карамелизованное (ядро ореха фисташки, сахар), фруктовые гранулы «Малина» (глюкозный сироп, малина), вафли дробленые (вода питьевая, мука пшеничная хлебопекарная высшего сорта, масло подсолнечное рафинированное дезодорированное, соль, разрыхлитель гидрокарбонат натрия, эмульгатор лецитин соевый), эмульгатор лецитин соевый, ароматизаторы натуральные: «Малина», «Фисташка», «Бисквит ванильный»",,,,,,,,
Шоколад молочный с кусочками малины Bucheron Standart 100г,https://magnit.ru/product/1000238498-bucheron_shokolad_mol_s_kusoch_malin100g_k_up_sobranie_10_30?shopCode=992301&shopType=6,1000238498,329.99,439.99,-25%,Bucheron,Собрание,Прочее,4.9,33.0,3.0,544.0,5.0,32.0,57.0,Шоколадная плитка,0.1,картонная упаковка,Молочный,5.0,"Сахар, какао-масло, молоко сухое цельное, какао тертое, малина сушеная кусочки, эмульгатор (лецитин), экстракт ванили",,,,,,,,
Конфета глазированная с шоколадно-ореховой начинкой Konfesta 38г,https://magnit.ru/product/1000518998-konfesta_konfeta_glazirov_s_shokolad_orekhovoy_nachinkoy_38g?shopCode=992301&shopType=6,1000518998,54.99,,,Konfesta,КФ Конфеста,,4.8,238.0,12.0,560.0,5.5,36.0,53.0,Батончик шоколадный,0.038,флоупак,Молочный,,"Растительные масла (подсолнечное, пальмовое, пальмоядровое), сахар, сыворотка сухая молочная, шоколад, мука пшеничная, стружка кокосовая, фундук обжаренный, какао-порошок, арахис обжаренный, порошок карамелизированный (сыворотка сухая молочная, масло сливочное, сахар, молочный белок), крахмал тапиоковый, лактоза, эмульгатор – соевый лецитин, ароматизаторы, соль",Шоколадная глазурь,,,,,,,
Шоколад молочный Bubble Gum Fantola 66г,https://magnit.ru/product/1000444029-fantola_shok_mol_bubble_gum_pechene_66g?shopCode=992301&shopType=6,1000444029,96.99,124.99,-22%,Fantola,Меркатус Нова Компани,Печенье,4.6,,,550.0,6.5,33.0,55.0,Шоколадная плитка,0.066,флоупак,Молочный,25.0,"Молочный шоколад 65% (молочная шоколадная масса: сахар, молоко сухое цельное, масло какао, какао тёртое, эмульгатор (соевый лецитин), ароматизатор (ванилин)), начинка (кондитерская масса (сахар, жир специального назначения (растительное масло, эмульгатор (соевый лецитин), антиокислитель Е306), сухое обезжиренное молоко, олеин пальмовый, эмульгаторы (соевый лецитин, Е476), антиокислители (Е300, Е307)), ароматизатор натуральный жевательная резинка, комплексная пищевая добавка-краситель (кармин)), печенье (мука пшеничная, жир кондитерский ((растительные масла, антиокислитель (концентрат смеси токоферолов)), сахар, соль, яичный порошок, молоко сухое цельное, разрыхлители (Е503ii, Е500ii), комплексная пищевая добавка-краситель (кармин), эмульгатор (соевый лецитин), ароматизатор натуральный жевательная резинка). В молочной шоколадной массе содержание общего сухого остатка какао-продуктов не менее 25%, сухого обезжиренного остатка какао-продуктов не менее 2,5%, сухих веществ молока не менее 12% и молочного жира не менее 2,5% массовая доля насыщенных жирных кислот не более 19%, массовая доля трансизомеров ненасыщенных жирных кислот 0,4%",,,,,,,,
Батончик с шоколадной начинкой Бабаевский 50г,https://magnit.ru/product/9409600895-batonchik_babaevskiy_s_shokoladnoy_nachinkoy_50g?shopCode=992301&shopType=6,9409600895,84.99,,,Бабаевский,Объединенные Кондитеры,,4.9,1179.0,99.0,492.0,4.9,30.0,52.2,Батончик шоколадный,0.05,бумажная упаковка,Темный,,"Темный шоколад: сахар, какао тёртое, масло какао, эмульгаторы: Е322, Е476, ароматизатор идентичный натуральному «ванильно-сливочный». Массовая доля общего сухого остатка какао - не менее 51.3%. Содержание какао продуктов - 54.7%. Начинка: шоколадная масса (сахар, какао тёртое, масло какао, эмульгаторы: Е322, Е476, ароматизатор идентичный натуральному «ванильно-сливочный»), сахар, сгущённое с сахаром молоко, пюре фруктовое, патока, ядро ореха фундука тёртое, масло какао, спирт, коньяк, регулятор кислотности - кислота лимонная, ароматизатор идентичный натуральному «апельсин», возможно наличие следов миндаля, кешью и арахиса. Противопоказано при индивидуальной непереносимости белка молока",Темный шоколад,Шоколадная,,,,,,
Шоколад Гречишный молочный ручной работы Natures Own Factory 20г,https://magnit.ru/product/1000379118-natures_own_factory_shokolad_grechishnyy_01_00001062_molochnyy_20g_floupak_ooo_vitaleyt_24?shopCode=992301&shopType=6,1000379118,139.99,,,Natures Own Factory,Виталэйт,Прочее,,,,569.0,9.7,40.4,41.1,Шоколадная плитка,0.02,флоупак,Молочный,35.0,"Какао-бобы, какао-масло, сухое цельное молоко, нерафинированный тростниковый сахар, семена татарской гречихи, натуральный эмульгатор подсолнечный лицитин, натуральная ваниль",,,,,,,,
Шоколад Победа Вкуса Charged молочный без сахара 100г,https://magnit.ru/product/1000313794-pobeda_vkusa_shokolad_charged_molochnyy_bez_sakhara_100g?shopCode=992301&shopType=6,1000313794,259.99,,,Победа Вкуса,,Без добавок,4.9,,,470.0,11.0,31.0,37.0,Шоколадная плитка,,флоупак,Молочный,,"Масло какао, тертое какао, сухое обезжиренное молоко, сыворотка молочная сухая, подсластитель(мальтитол), пребиотик (инулин 10%), сухое цельное молоко, эмульгатор лецитин соевый, экстракт бурых морских водорослей ""идальг"", натуральный подсластитель (стевия 0,08%), натуральная ваниль",,,,,Без добавок,,,
Шоколад горький Bucheron Original 72% 90г,https://magnit.ru/product/1000460521-bucheron_shokolad_gorkiy_72_90g_k_up_inter_grupp?shopCode=992301&shopType=6,1000460521,194.99,249.99,-22%,Bucheron,Собрание,Без добавок,4.7,40.0,7.0,520.0,9.0,40.0,31.0,Шоколадная плитка,0.09,картонная упаковка,Горький,72.0,"Какао тертое, сахар, масло какао, какао-порошок, эмульгаторы (лецитин соевый, Е476), ароматизатор ""Ванилин""",,,,,,,,
Шоколад Вкус и польза на меду горький классический 70г,https://magnit.ru/product/1000424671-vkus_i_polza_shokolad_na_medu_gorkiy_klassich_70g_fl_p?shopCode=992301&shopType=6,1000424671,239.99,,,Вкус и Польза,,Мед,,,,560.0,8.0,42.6,36.0,Шоколадная плитка,,флоупак,Горький,,"Какао тёртое натуральное, мёд, масло какао",,,,Прочее,Без добавок,,0,
Шоколадный батончик Snickers Криспер с карамелью арахисом и хрустящими рисовыми шариками 60г,https://magnit.ru/product/1000280009-shokoladnyy_batonchik_snickers_krisper_3sht_20g?shopCode=992301&shopType=6,1000280009,65.99,,,Snickers,Марс,,4.8,2366.0,92.0,483.0,7.1,22.5,60.5,Батончик шоколадный,0.06,флоупак,Молочный,,"Молочный шоколад (сахар, сухое цельное молоко, какао масло, какао тертое, лактоза, эмульгатор (соевый лецитин), ароматизатор натуральный (экстракт ванили)), глюкозный сироп (кукурузный, пшеничный), арахис, рисовая мука, масло пальмовое рафинированное дезодорированное, сахар, влагоудерживающий агент (глицерин), сухое обезжиренное молоко, декстроза, соль, ароматизатор натуральный (экстракт ванили). Может содержать незначительное количество яичного белка, глютена, фундука",Темный шоколад,,,,,,,
Шоколад молочный с цельным миндалем Milka 80г,https://magnit.ru/product/1000420245-milka_shokolad_molochnyy_s_tselnym_mindalyem_85g?shopCode=992301&shopType=6,1000420245,99.99,219.99,-54%,Milka,Мондэлис Русь,Орехи,4.9,1805.0,90.0,553.0,8.7,34.0,50.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, миндаль обжаренный цельный, масло какао, какао тертое, молоко сухое цельное, сыворотка сухая молочная, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый, Е476), паста ореховая (фундук), ароматизатор",,,,,,,,
Батончик шоколадный с карамелью Twix 55-58г,https://magnit.ru/product/1635300003-shokoladnyy_batonchik_twix_55g?shopCode=992301&shopType=6,1635300003,59.99,,,Twix,Mars,,4.9,3786.0,111.0,497.0,3.9,24.0,65.4,Батончик шоколадный,0.058,флоупак,Молочный,,"Молочный шоколад (общий сухой остаток какао – не менее 25%, сухой молочный остаток – не менее 20%): сахар, какао-масло, какао тертое, лактоза, сухое цельное молоко, сухая молочная сыворотка, молочный жир, эмульгатор (соевый лецитин), ароматизатор «Ванилин»; карамель: глюкозный сироп (кукурузный пшеничный), сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, соль, ароматизатор «Ванилин»; печенье: пшеничная мука, жир специального назначения (пальмовое масло), сахар, какао-порошок, соль, разрыхлитель (гидрокарбонат натрия), ароматизатор «Ванилин». Содержит глютен, может содержать незначительное количество яичного белка, арахиса",Молочный шоколад,Карамель,,,,,,
Шоколад Natures Own Factory Гречишный Белый 20г,https://magnit.ru/product/1000390569-natures_own_factory_shokolad_grechishnyy_belyy_20g?shopCode=992301&shopType=6,1000390569,129.99,,,Natures Own Factory,,,,,,593.0,10.1,43.3,40.4,Шоколадная плитка,,флоупак,Белый,,"Масло какао, сухое цельное молоко, нерафинированный тростниковый сахар, семена татарской гречихи, натуральный эмульгатор подсолнечный лецитин",,,,Без сахарозаменителя,Без добавок,,0,
Шоколад белый с целым фундуком King Of Nuts 200г,https://magnit.ru/product/1000527632-konfesta_shokolad_king_of_nuts_bel_tsel_fund_200g_karton_up?shopCode=992301&shopType=6,1000527632,259.99,339.99,-23%,King of Nuts,КФ Конфеста,Орехи,4.6,753.0,130.0,580.0,10.0,39.0,47.0,Шоколадная плитка,0.2,картонная упаковка,Белый,34.0,"Сахар, фундук цельный обжаренный, масло какао, какао-тертое, молоко сухое обезжиренное, молоко сухое цельное, эмульгатор – соевый лецитин, ароматизатор общее содержание сухого остатка какао не менее 34%, сухой обезжиренный остаток какао не менее 5,5%, сухой остаток молочных продуктов не менее 18%, молочный жир не менее 2,5%",,,,,,,,
Шоколад Молочный пористый Алёнка 90г,https://magnit.ru/product/1000140980-shokolad_alenka_poristyy_95g?shopCode=992301&shopType=6,1000140980,149.99,199.99,-25%,Алёнка,Объединенные Кондитеры,Без добавок,4.7,66.0,6.0,580.0,8.0,38.0,50.0,Шоколадная плитка,0.09,бумажная упаковка,Молочный,30.0,"Сахар, сухое цельное молоко, масло какао, какао тертое, эмульгаторы: E322, E476, ароматизаторы идентичные натуральным «шоколад», «карамель»",,,,,,,,
Батончик с помадно-сливочной начинкой Бабаевский 50г,https://magnit.ru/product/3070910412-shokolad_babaevskiy_s_pomadno_slivochnoy_nachinkoy_50g?shopCode=992301&shopType=6,3070910412,76.99,,,Бабаевский,Объединенные Кондитеры,,4.9,1968.0,145.0,480.0,5.0,24.0,58.0,Батончик шоколадный,0.05,бумажная упаковка,Темный,,"Темный шоколад (сахар, какао тёртое, масло какао, жир молочный, эмульгаторы: лецитин соевый, Е476, ароматизатор «Ваниль»), начинка (сгущённое с сахаром молоко (молоко нормализованное, сахар (сахароза), сахар молочный (лактоза)), сахар, вода питьевая, заменитель молочного жира (растительные масла, эмульгатор подсолнечный лецитин, антиокислители: токоферолы, концентрат смеси, аскорбилпальмитат, лимонная кислота), патока, коньяк (спирт коньячный выдержанный, сахарный сироп, краситель сахарный колер I, вода питьевая), спирт этиловый ректификованный, ароматизатор «Ванильно-сливочный»)",Темный шоколад,Помадная,,,,,,
Шоколадное яйцо Скрепыши 20г в ассортименте,https://magnit.ru/product/8000011740-skrepyshi_stikersy_shokoladnoe_yaytso_20g_v_assortimente?shopCode=992301&shopType=6,8000011740,69.99,89.99,-22%,Скрепыши,Тандер,,4.4,167.0,9.0,550.0,65.0,34.0,54.0,Шоколадное яйцо,0.02,фольга,,,"Сахар, масло какао, сухое цельное молоко, какао тертое, эмульгаторы: соевый лецитин, ароматизатор ванилин массовые доли: общего сухого остатка какао - не менее 25%; сухого обезжиренного остатка какао - не менее 2.5%; сухого общего остатка молока - не менее 12 %; молочного жира - не менее 2.5 %",,,,,,,,
Шоколад Темный Марципан Ritter Sport 50% 100г,https://magnit.ru/product/1649900029-ritter_sport_shok_gor_s_martsipanom_100g_ritter_sport_12?shopCode=992301&shopType=6,1649900029,159.99,269.99,-40%,Ritter Sport,Ritter Schonbuch Vermogensverwaltungs,Без добавок,4.9,919.0,87.0,493.0,7.0,27.0,53.0,Шоколадная плитка,0.1,флоупак,Темный,50.0,"Сахар, какао тертое, масло какао, эмульгатор (соевый лецитин); начинка: сахар, орех миндаль (молотый), инвертный сироп. Может содержать следы арахиса, других орехов, глютена, молочных продуктов и яиц",,,,,,,,
Шоколад Горький Апельсин и миндаль Merci 72% 100г,https://magnit.ru/product/1000314084-merci_shokolad_gorkiy_141177_23_s_sokom_apelsina_i_kusochkami_mindalya_100g_kartonnaya_upakovka_15?shopCode=992301&shopType=6,1000314084,189.99,269.99,-29%,Merci,August Storck,Орехи,4.9,,,564.0,10.0,40.0,35.0,Шоколадная плитка,0.1,картонная упаковка,Горький,72.0,"Какао тертое, сахар, нарезанный миндаль, масло какао, концентрированный апельсиновый сок, яблочное пюре, эмульгатор соевый лецитин, натуральные ароматизаторы, кусочки ананаса, загуститель альгинат натрия, регулятор кислотности лимонная кислота",,,,,,,,
Шоколад Славянка молочный с фундуком Особый 89г,https://magnit.ru/product/1000454309-molochnyy_shokolad_osobyy_s_fundukom_89g?shopCode=992301&shopType=6,1000454309,145.99,,,Славянка,Славянка КО,Орехи,4.7,18.0,2.0,537.0,7.0,36.0,46.0,Шоколадная плитка,0.088,картонная упаковка,Молочный,25.0,"Сахар, масло какао, молоко цельное сухое, ядра фундука дроблёные, какао-тёртое, сыворотка молочная сухая, эмульгаторы (лецитин соевый, эфиры полиглицерина и взаимоэтерифицированных рициноловых кислот), ароматизатор",,,,,,,,
Шоколадный батончик с ореховой пастой Даёжъ 40г,https://magnit.ru/product/1000515294-dayezh_shok_baton_s_orekh_pastoy_40g_essen_15_60?shopCode=992301&shopType=6,1000515294,23.99,,,Даёжъ,Эссен Продакшн АГ,,4.7,948.0,60.0,463.0,52.0,224.0,601.0,Батончик шоколадный,0.04,флоупак,Молочный,,"Сахар, патока крахмальная, мука пшеничная, растительные масла (пальмовое, подсолнечное, соевое), продукт экструдированных круп и зернового сырья пэк кранчи (крупа рисовая, сахар, глюкоза, молоко сухое обезжиренное, масло пальмовое, соль, разрыхлитель гидрокарбонат натрия, эмульгатор лецитин соевый), сыворотка молочная сухая, эквивалент масла какао (растительные масла (пальмовое, ши), эмульгатор лецитины, антиокислитель: токоферолы, концентрат смеси), молоко сухое обезжиренное, какао тертое, какао-порошок алкализованный, паста ядер орехов фундука обжаренных, соль, агент влагоудерживающий глицерин, эмульгаторы (лецитины, Е476), ароматизаторы, разрыхлитель гидрокарбонат натрия, регулятор кислотности молочная кислота, антиокислители (аскорбилпальмитат, токоферолы, концентрат смеси). Может содержать незначительное количество продуктов переработки арахиса",Шоколадная глазурь,Прочее,,,,,,
