Название,Ссылка,Артикул,Текущая цена,Старая цена,Скидка,Бренд,Производитель,Вкусовая добавка,Рейтинг,Количество оценок,Количество отзывов,Ккал,Белки,Жиры,Углеводы,Тип,Вес (кг),Упаковка,Тип шоколада,Какао (%),Состав,Глазировка,Начинка,Вид конфет,Вид сахарозаменителя,Добавка,Тип глазировки,Объем л,Содержание сахара
Шоколад молочный Snaqfabriq со сливочной начинкой без сахара 130г,https://magnit.ru/product/1000526174-snaq_fabriq_shokolad_molochnyy_so_slivochnoy_nachinkoy_bez_sakhara_130g?shopCode=992301&shopType=6,1000526174,329.99,,,Snaq Fabriq,Фитнес Фуд,,,,,464.0,9.0,36.0,11.0,Шоколадная плитка,0.13,дой пак,,,"Молочный шоколад (водорастворимые волокна кукурузы, масло какао, какао тёртое, молоко сухое обезжиренное, эмульгатор (соевый лецитин), ароматизаторы натуральные, подсластитель (сукралоза)), сливочная начинка (масло кокосовое, аллюлоза, водорастворимые волокна кукурузы, молоко сухое обезжиренное, эмульгатор (соевый лецитин), ароматизаторы натуральные, подсластитель (сукралоза))",Молочный шоколад,,Кремовые,,,,,
Шоколад Победа Вкуса Immunity молочный с криспом 100г,https://magnit.ru/product/1000313795-pobeda_vkusa_shokolad_charged_immunity_mol_s_krispom_100g?shopCode=992301&shopType=6,1000313795,229.99,,,Победа Вкуса,,Крипс,,,,510.0,5.0,30.0,56.0,Шоколадная плитка,,флоупак,Молочный,,"Сахар, масло какао, сухое цельное молоко, тертое какао, криспи рис (мука рисовая, сахар, мука ячменного солода, соль, эмульгатор (лецитин соевый), жир растительный), лактоза, сухое обезжиренное молоко, эмульгатор (лецитин соевый), витаминно-минеральный премикс ""Иммунитет"" (витамин А, витамин Е, витамин С, медь, селен, цинк, мальтодекстрин), натуральная ваниль",,,,Без сахарозаменителя,Прочее,,,
Шоколад темный с фундуком 55% Бабаевский 90г,https://magnit.ru/product/1000140975-shokolad_babaevskiy_temnyy_s_fundukom_100g?shopCode=992301&shopType=6,1000140975,169.99,309.99,-45%,Бабаевский,Объединенные Кондитеры,Орехи,4.8,946.0,66.0,560.0,8.5,39.0,41.0,Шоколадная плитка,0.09,бумажная упаковка,Темный,55.0,"Сахар, какао тертое, масло какао, ядро ореха фундука половинки, жир молочный, эмульгаторы лецитин соевый, E476, спирт этиловый ректификованный, чай, ароматизатор ""ваниль"" массовая доля общего сухого остатка какао не менее 55,3% содержание какао продуктов 56,0% в темном шоколаде возможно наличие незначительного количества арахиса, орехов: миндаля и кешью, молочных продуктов, изюма и апельсиновых кусочков",,,,,,,,
Батончик шоколадный в хрустящей вафле Хрутка 22г,https://magnit.ru/product/1000455518-1624490333?shopCode=992301&shopType=6,1000455518,32.99,42.99,-23%,Хрутка,Нестле,,4.7,1337.0,69.0,522.0,59.0,29.0,59.0,Батончик шоколадный,0.022,флоупак,Темный,,"Сахар, мука пшеничная (содержит глютен), жир специального назначения (масло пальмовое, эмульгатор (лецитины)), сухое обезжиренное молоко, эквивалент масла какао (масло пальмовое, масло ши), какао тертое, сыворотка молочная сухая, крупа рисовая, карбонат кальция, молочный жир, крупа кукурузная, крупа гречневая, эмульгаторы (лецитины, E476), какао-порошок, ароматизатор натуральный, соль, разрыхлитель (гидрокарбонат натрия), вещество для обработки муки (сульфат кальция). Кальций: в 100 г - 894 мг (89 % ССП*), в порции 22 г - 197 мг (19 % ССП*)",Прочее,Вафли,,,,,,
Шоколад горький Победа вкуса 72% 100г,https://magnit.ru/product/1000126989-pobeda_vkusa_shokolad_gorkiy_72_100g_bum_up_kf_pobeda_20?shopCode=992301&shopType=6,1000126989,189.99,229.99,-17%,Победа Вкуса,КФ Победа,Без добавок,4.8,945.0,104.0,510.0,10.0,36.0,36.0,Шоколадная плитка,0.1,бумажная упаковка,Горький,72.0,"Какао тертое, сахар, какао-масло, эмульгатор (соевый лецитин), ароматизатор (ванилин). Может содержать следы орехов, молочных продуктов. Общее содержание сухого остатка какао-продуктов - не менее 65%, масло какао - не менее 33%. Не содержит ГМО",,,,,,,,
Конфета вафельная глазированная Степ Mix 40г,https://magnit.ru/product/1000390755-step_mix_batonchik_vaf_glaz_44g?shopCode=992301&shopType=6,1000390755,29.99,,,Степ,Славянка КО,,4.8,615.0,27.0,430.0,7.0,31.0,51.0,Батончик шоколадный,0.044,флоупак,Молочный,,"Сахар, арахис дробленый, патока, масло растительное, виноград сушеный, мука пшеничная, заменитель масла какао (масла растительные, эмульгаторы (Е492, лецитин соевый)), сыворотка молочная сухая, жир растительный (масла растительные, антиокислитель концентрат смеси токоферолов), ядра фундука тёртые, глюкоза, какао-порошок, продукты яичные, эмульгаторы (лецитин соевый, эфиры полиглицерина и взаимоэтерифицированных рициноловых кислот), соль, краситель сахарный колер l простой, ароматизаторы, разрыхлитель гидрокарбонат натрия, регулятор кислотности лимонная кислота. Противопоказано при индивидуальной непереносимости к белку молока и яичному белку",Прочее,Вафли,,,,,,
Шоколад темный клубничный тарт с миндалем 42% Вдохновение 100г,https://magnit.ru/product/1000446704-vdokhnovenie_temn_shokol_klub_tart_mind_100g_babaevskiy?shopCode=992301&shopType=6,1000446704,199.99,319.99,-37%,Вдохновение,Объединенные Кондитеры,Орехи,4.8,154.0,7.0,570.0,6.5,38.0,47.0,Шоколадная плитка,0.1,картонная упаковка,Темный,42.0,"Сахар, какао тертое, масло какао, сухое цельное молоко, ядро ореха миндаля дробленое, кранчи сушеные «Клубника» (глюкозный сироп, клубника, сахар, крахмал тапиока), вафли дробленые (вода питьевая, мука пшеничная хлебопекарная высшего сорта, масло подсолнечное рафинированное дезодорированное, соль, разрыхлитель гидрокарбонат натрия, эмульгатор лецитин соевый), эмульгатор лецитин соевый, ароматизаторы натуральные: «Клубника», «Бисквит ванильный»",,,,,,,,
Шоколад темный Вишня брауни и цельный фундук 55% Бабаевский 165г,https://magnit.ru/product/1000369596-babaevskiy_shokolad_ko22777_temnyy_s_nachinkoy_funduk_tselnyy_vkus_vishni_165g_floupak_oao_rot_front?shopCode=992301&shopType=6,1000369596,259.99,449.99,-42%,Бабаевский,Объединенные Кондитеры,Орехи,4.8,3377.0,406.0,550.0,5.0,37.0,46.0,Шоколадная плитка,0.165,флоупак,Темный,55.0,"Темный шоколад (какао тертое, сахар, масло какао, обезвоженный молочный жир (сливки пастеризованные), эмульгаторы: лецитин соевый, E476, спирт этиловый ректификованный, ароматизатор «Ваниль»), начинка (сахар, жир растительный (растительные масла, эмульгатор лецитин соевый), ядро ореха фундука целое, какао-порошок, патока, апельсиновые кранчи (концентрированный апельсиновый сок, апельсиновая мякоть), жир специального назначения (растительные масла), печенье брауни (сахар, какао-порошок, глюкозный сироп, пшеничный крахмал, сухие сливки, подсолнечное масло, кокосовое масло, агент влагоудерживающий глицерин, соль), сгущенное с сахаром цельное молоко (цельное молоко, сахар, влагоудерживающие агенты: сорбитоловый сироп, глицерин, эмульгаторы: лецитин соевый, моно- и диглицериды жирных кислот, ароматизаторы: «Апельсин красный сицилийский», «Брауни», «Карамель», соль",,,,,,,,
Батончик вафельный Обыкновенное чудо 40г,https://magnit.ru/product/1000127852-konfety_obyknovennoe_chudo_klassicheskoe_40g?shopCode=992301&shopType=6,1000127852,29.99,36.99,-18%,Обыкновенное Чудо,Славянка КО,,4.8,140.0,10.0,209.0,2.7,11.5,22.6,Батончик шоколадный,0.04,флоупак,,,"Сахар, мука пшеничная, жир растительный (масло растительное, антиокислители: Е319, кислота лимонная), масло кокосовое, молоко сухое обезжиренное, сыворотка молочная сухая, ядра фундука тертые, крахмал кукурузный, жир растительный, орех кешью тертый, заменитель масла какао (масла растительные, эмульгаторы: Е492, лецитин, антиокислители: Е319, кислота лимонная, эмульгаторы (лецитин соевый, палсгаард), соль, патока, спирт, разрыхлитель натрий двууглекислый, желток яичный сухой, какао-порошок, улучшитель качества вафель, ароматизатор, регулятор кислотности кислота лимонная",Шоколадная глазурь,Кремовая,,,,,,
Паста шоколадно-арахисовая Степ 220г,https://magnit.ru/product/1000220350-pasta_shokoladno_arakhisovaya_zolotoy_step_220g?shopCode=992301&shopType=6,1000220350,159.99,,,Степ,Славянка КО,,4.6,2028.0,143.0,589.0,12.0,42.0,41.0,Шоколадно-ореховая паста,0.22,пластиковый стакан,,,"Арахис тертый, сахар, жир растительный (масла растительные, антиокислитель E306), какао-порошок, эмульгатор лецитин соевый, ароматизаторы",,,,,,,,
Шоколад Крупской молочный Особый 200г,https://magnit.ru/product/1000556830-krupskoy_shokolad_molochnyy_osobyy_200g?shopCode=992301&shopType=6,1000556830,219.99,399.99,-45%,Фабрика им. Крупской,КФ им. Н.К. Крупской,Без добавок,4.6,332.0,57.0,550.0,6.0,34.0,55.0,Шоколадная плитка,0.2,флоупак,Молочный,37.0,"Сахар, масло, какао, молоко цельное сухое, какао-тертое, сыворотка молочная сухая, жир молочный, эмульгаторы (лецитин соевый, эфиры полиглицерина и взаимоэтерифицированных рициноловых кислот), ароматизатор",,,,,,,,
Яйцо с игрушкой-сюрпризом Конфитрейд 20г,https://magnit.ru/product/1000126995-yaytso_s_syurprizom_20g?shopCode=992301&shopType=6,1000126995,69.99,99.99,-30%,Конфитрейд,Конфитрейд,,4.4,14.0,1.0,553.0,3.6,33.5,59.2,Шоколадное яйцо,0.02,фольга,,,"Сахар, заменитель масла какао лауринового типа (пальмоядровое масло), сыворотка молочная сухая, какао-порошок, сухое цельное молоко, эмульгатор (соевый лецитин), ароматизаторы",,,,,,,,
Шоколад Вкус и польза на меду молочный 70г,https://magnit.ru/product/1000424670-vkus_i_polza_shokolad_na_medu_molochnyy_70g_fl_p?shopCode=992301&shopType=6,1000424670,239.99,,,Вкус и Польза,,Мед,,,,580.0,10.7,44.0,34.7,Шоколадная плитка,,флоупак,Молочный,,"Молоко сухое цельное, масло какао, мёд, какао тёртое натуральное",,,,Прочее,Без добавок,,0,
Шоколад Max Fun карамель-мармелад-печенье Alpen Gold 140г,https://magnit.ru/product/1000120851-shokolad_alpen_gold_max_fan_so_vzryvnoy_karamelyu_marmeladom_i_pechenem_150g?shopCode=992301&shopType=6,1000120851,159.99,299.99,-46%,Alpen Gold,Мондэлис Русь,,4.8,2944.0,163.0,495.0,5.3,24.0,63.5,Шоколадная плитка,0.14,флоупак,Молочный,25.0,"Шоколад молочный (сахар, какао тертое, масло какао, сыворотка сухая молочная, молоко сухое цельное, жир молочный, молоко сухое обезжиренное, эмульгаторы (лецитин соевый, Е476, ароматизатор); мармелад жевательный фигурный (сироп глюкозный, сахар, вода, желатин говяжий, регулятор кислотности (кислота лимонная), ароматизатор натуральный, агент желирующий (агар), красители (Е163, Е141, экстракт паприки), экстракт куркумы, экстракт черной морковки, жир растительный (масло пальмовое и кокосовое), глазирователи (воск пчелиный белый и желтый, воск карнаубский)), печенье овсяное со вкусом карамели (мука овсяная, сахар, жир растительный (масла пальмовое и рапсовое), сахар инвертный, крахмал тапиоковый, ароматизатор натуральный, разрыхлители (гидрокарбонат натрия, Е503iii)), соль); взрывная карамель (сахар, сироп глюкозный, лактоза (из молока))",,,,,,,,
Шоколад молочный с кусочками кренделя Ritter Sport 100г,https://magnit.ru/product/1000556484-ritter_sport_shokolad_moloch_s_kusoch_krendelya_100g?shopCode=992301&shopType=6,1000556484,169.99,,,Ritter Sport,Ritter Schonbuch Vermogensverwaltungs,,,,,518.0,6.6,28.0,60.0,Шоколадная плитка,0.1,флоупак,Молочный,,"Шоколад молочный (сахар, масло какао, какао тертое, сухое цельное молоко, лактоза, сухое обезжиренное молоко, молочный жир, эмульгатор соевый лецитин), кусочки кренделя (мука пшеничная, масло подсолнечное, соль, пшеничный солод, дрожжи хлебопекарные, регулятор кислотности гидроксид натрия), кукурузные хлопья (кукуруза, морская соль, ячменный солод, эмульгатор лецитины (рапсовый, подсолнечный)) возможно наличие следов орехов, арахиса и яиц",,,,,,,,
