title,link,description,regular_price,sale_price,discount,sale_period,favorite,labels,badges,product_id
Шоколад молочный миндаль вафля Россия щедрая душа 82г,https://magnit.ru/product/1000178485-shokolad_rossiya_molochnyy_s_mindalem_i_vafley_90g?shopCode=992301&shopType=6,79.99 ₽ -33% 119.99 ₽Шоколад молочный миндаль вафля Россия щедрая душа 82г4.8· 137 отзывов,,,,,,,,1000178485
Трюфели Победа Вкуса шоколадные классические без сахара 150г,https://magnit.ru/product/1000387010-pobeda_vkusa_konfety_8108_tryufel_klassicheskiy_vkus_bez_sakhara_150g_floupak_konditerskaya_fabrika_?shopCode=992301&shopType=6,296.99 ₽ -15% 349.99 ₽Трюфели Победа Вкуса шоколадные классические без сахара 150г4.6· 8 отзывов,,,,,,По карте,По карте,1000387010
Шоколад Oreo Молочный с арахисовой пастой и печеньем Alpen Gold 85г,https://magnit.ru/product/1000203066-shokolad_alpen_gold_oreo_molochnyy_s_arakhisovoy_pastoy_95g?shopCode=992301&shopType=6,74.99 ₽ -42% 129.99 ₽Шоколад Oreo Молочный с арахисовой пастой и печеньем Alpen Gold 85г4.7· 34 отзыва,,,,,,,,1000203066
Шоколад Молочный Milka Milka 80г,https://magnit.ru/product/1000149242-shokolad_milka_molochnyy_90g?shopCode=992301&shopType=6,99.99 ₽ -50% 199.99 ₽Шоколад Молочный Milka Milka 80г4.9· 253 отзыва,,,,,,Товар недели,Товар недели,1000149242
Шоколад Delight Молочный с фундуком и макадамией без глютена Red 70г,https://magnit.ru/product/1000247883-red_shokolad_00_00000500_molochnyy_so_snizhennoy_kaloriynostyu_s_fundukom_i_makadamiey_100g_kartonna?shopCode=992301&shopType=6,199.99 ₽Шоколад Delight Молочный с фундуком и макадамией без глютена Red 70г4.9· 18 отзывов,,,,,,По карте,По карте,1000247883
Шоколад молочный с кокосовой начинкой и вафлей Milk Story 80г,https://magnit.ru/product/1000518453-konfesta_shokolad_moloch_s_kokos_nachin_i_vafley_80g?shopCode=992301&shopType=6,59.99 ₽ -25% 79.99 ₽Шоколад молочный с кокосовой начинкой и вафлей Milk Story 80г4.6· 62 отзыва,,,,,,,,1000518453
Шоколад молочный с молочной начинкой Babyfox 45г,https://magnit.ru/product/1000391920-babyfox_shok_molochnyy_s_molochnoy_nachinkoy_45g?shopCode=992301&shopType=6,49.99 ₽ -30% 71.99 ₽Шоколад молочный с молочной начинкой Babyfox 45г4.9· 556 отзывов,,,,,,По карте,По карте,1000391920
Шоколад молочный карамель арахис Россия щедрая душа 82г,https://magnit.ru/product/1000152340-shokolad_rossiya_molochnyy_karamel_i_arakhis_90g?shopCode=992301&shopType=6,79.99 ₽ -33% 119.99 ₽Шоколад молочный карамель арахис Россия щедрая душа 82г4.8· 237 отзывов,,,,,,,,1000152340
Шоколад белый Schogetten Chai Latte 100г,https://magnit.ru/product/1000562517-schogetten_shokolad_belyy_chai_latte_100g_k_u?shopCode=992301&shopType=6,149.99 ₽Шоколад белый Schogetten Chai Latte 100г4.2· 36 отзывов,,,,,,,,1000562517
Молочный шоколад с молочной начинкой Хрутка 90г,https://magnit.ru/product/8000010028-molochnyy_shokolad_khrutka_s_molochnoy_nachinkoy_90g?shopCode=992301&shopType=6,89.99 ₽ -45% 164.99 ₽Молочный шоколад с молочной начинкой Хрутка 90г4.6· 9 отзывов,,,,,,,,8000010028
